ԱԱ	ɑ ɑ́
աճացնել	ɑ d͡ʒ ɑ t͡sʰ ə n é l
աճել	ɑ d͡ʒ é l
աճեմ	ɑ d͡ʒ é m
աճեցնել	ɑ d͡ʒ e t͡sʰ ə n é l
աճիլ	ɑ d͡ʒ í l
աճյուն	ɑ d͡ʒ ʏ́ n
աճուկ	ɑ d͡ʒ ú ɡ
աճուրդ	ɑ d͡ʒ ú ɾ tʰ
աճպարար	ɑ d͡ʒ b ɑ ɾ ɑ́ ɾ
աճպարարություն	ɑ d͡ʒ b ɑ ɾ ɑ ɾ u tʰ ʏ́ n
աճռել	ɑ d͡ʒ ə r é l
ամ	ɑ m
ամայանալ	ɑ m ɑ j ɑ n ɑ́ l
ամայի	ɑ m ɑ j í
աման	ɑ m ɑ́ n
ամանակ	ɑ m ɑ n ɑ́ ɡ
ամանորյա	ɑ m ɑ n o ɾ j ɑ́
ամաչել	ɑ m ɑ t͡ʃʰ é l
ամաչկոտ	ɑ m ɑ t͡ʃʰ k ó d
ամառ	ɑ m ɑ́ r
ամառային	ɑ m ɑ r ɑ j í n
ամառանոց	ɑ m ɑ r ɑ n ó t͡sʰ
ամարաստան	ɑ m ɑ ɾ ɑ s t ɑ́ n
ամբաստանել	ɑ m pʰ ɑ s t ɑ n é l
ամբաստանյալ	ɑ m pʰ ɑ s t ɑ n j ɑ́ l
ամբաստանք	ɑ m pʰ ɑ s t ɑ́ ŋ kʰ
ամբար	ɑ m pʰ ɑ́ ɾ
ամբարիշտ	ɑ m pʰ ɑ ɾ í ʃ t
ամբարհավաճություն	ɑ m pʰ ɑ ɾ h ɑ v ɑ d͡ʒ u tʰ ʏ́ n
ամբարտակ	ɑ m pʰ ɑ ɾ d ɑ́ ɡ
ամբարտավան	ɑ m pʰ ɑ ɾ d ɑ v ɑ́ n
ամբարտավանական	ɑ m pʰ ɑ ɾ d ɑ v ɑ n ɑ ɡ ɑ́ n
ամբարտավանանալ	ɑ m pʰ ɑ ɾ d ɑ v ɑ n ɑ n ɑ́ l
ամբարտավանել	ɑ m pʰ ɑ ɾ d ɑ v ɑ n é l
ամբարտավանորեն	ɑ m pʰ ɑ ɾ d ɑ v ɑ n o ɾ é n
ամբարտավանություն	ɑ m pʰ ɑ ɾ d ɑ v ɑ n u tʰ ʏ́ n
ամբիոն	ɑ m pʰ i j ó n
ամբիցիոզ	ɑ m pʰ i t͡sʰ i j ó z
ամբոխ	ɑ m pʰ ó χ
ամբողջ	ɑ m pʰ ó χ t͡ʃʰ
ամբողջություն	ɑ m pʰ o χ t͡ʃʰ u tʰ ʏ́ n
ամեհի	ɑ m e h í
ամեն	ɑ m é n
ամենաբարձր	ɑ m e n ɑ pʰ ɑ́ ɾ t͡sʰ ə ɾ
ամենագետ	ɑ m e n ɑ kʰ é d
ամենազոր	ɑ m e n ɑ z ó ɾ
ամենալավ	ɑ m e n ɑ l ɑ́ v
ամենակալ	ɑ m e n ɑ ɡ ɑ́ l
ամենամեծ	ɑ m e n ɑ m é d͡z
ամենայն	ɑ m e n ɑ́ j n
ամենուր	ɑ m e n ú ɾ
ամենուրեք	ɑ m e n u ɾ é kʰ
ամենևին	ɑ m e n e v í n
ամեոբա	ɑ m e o pʰ ɑ́
ամերիկական	ɑ m e ɾ i ɡ ɑ ɡ ɑ́ n
ամերիկահայ	ɑ m e ɾ i ɡ ɑ h ɑ́ j
ամերիկացի	ɑ m e ɾ i ɡ ɑ t͡sʰ í
ամերիկյան	ɑ m e ɾ i ɡ j ɑ́ n
ամերիկուհի	ɑ m e ɾ i ɡ u h í
ամերիցիում	ɑ m e ɾ i t͡sʰ i j ú m
ամիկ	ɑ m í ɡ
ամիճ	ɑ m í d͡ʒ
ամիս	ɑ m í s
ամիրա	ɑ m i ɾ ɑ́
ամիրսպասալար	ɑ m i ɾ s p ɑ s ɑ l ɑ́ ɾ
ամհարերեն	ɑ m h ɑ ɾ e ɾ é n
ամմեն	ɑ mː é n
ամնիստիա	ɑ m n í s t i j ɑ
ամոթ	ɑ m ó tʰ
ամոթույք	ɑ m o tʰ ú j kʰ
ամոլ	ɑ m ó l
ամորձակալ	ɑ m o ɾ t͡sʰ ɑ ɡ ɑ́ l
ամորձապարկ	ɑ m o ɾ t͡sʰ ɑ b ɑ́ ɾ ɡ
ամորձատել	ɑ m o ɾ t͡sʰ ɑ d é l
ամորձի	ɑ m o ɾ t͡sʰ í
ամորձիք	ɑ m o ɾ t͡sʰ í kʰ
ամուլ	ɑ m ú l
ամուսին	ɑ m u s í n
ամուսնալուծություն	ɑ m u s n ɑ l u d͡z u tʰ ʏ́ n
ամուսնանալ	ɑ m u s n ɑ n ɑ́ l
ամուսնացած	ɑ m u s n ɑ t͡sʰ ɑ́ d͡z
ամուսնացնել	ɑ m u s n ɑ t͡sʰ ə n é l
ամուսնություն	ɑ m u s n u tʰ ʏ́ n
ամուր	ɑ m ú ɾ
ամուրի	ɑ m u ɾ í
ամոք	ɑ m ó kʰ
ամպ	ɑ m b
ամպար	ɑ m b ɑ́ ɾ
ամպել	ɑ m b é l
ամպեղեն	ɑ m b e ʁ é n
ամպեր	ɑ m b é ɾ
ամպրոպ	ɑ m b ɾ ó b
ամսագիր	ɑ m s ɑ kʰ í ɾ
ամսական	ɑ m s ɑ ɡ ɑ́ n
ամսեկան	ɑ m s e ɡ ɑ́ n
ամրագոտի	ɑ m ɾ ɑ kʰ o d í
ամրագրվել	ɑ m ɾ ɑ kʰ ə ɾ v é l
ամրածածուկ	ɑ m ɾ ɑ d͡z ɑ d͡z ú ɡ
ամրակ	ɑ m ɾ ɑ́ ɡ
ամրակազմ	ɑ m ɾ ɑ ɡ ɑ́ z m
ամրան	ɑ m ɾ ɑ́ n
ամրապնդում	ɑ m ɾ ɑ b ə n tʰ ú m
ամրոց	ɑ m ɾ ó t͡sʰ
ամփոփել	ɑ m pʰ o pʰ é l
ամփոփում	ɑ m pʰ o pʰ ú m
այբ	ɑ j pʰ
այբբենարան	ɑ j pʰː e n ɑ ɾ ɑ́ n
այբուբեն	ɑ j pʰ u pʰ é n
այգ	ɑ j kʰ
այգաբաց	ɑ j kʰ ɑ pʰ ɑ́ t͡sʰ
այգեպան	ɑ j kʰ e b ɑ́ n
այգեստան	ɑ j kʰ e s t ɑ́ n
այգեվետ	ɑ j kʰ e v é d
այգի	ɑ j kʰ í
այդ	ɑ j tʰ
այդուհանդերձ	ɑ j tʰ u h ɑ n tʰ é ɾ t͡sʰ
այդպես	ɑ́ j tʰ p e s
այդտեղ	ɑ́ j tʰ t e ʁ
այդքան	ɑ́ j tʰ kʰ ɑ n
այժմ	ɑ́ j ʒ ə m
այժմիկ	ɑ j ʒ ə m í ɡ
այժմու	ɑ j ʒ ə m ú
այլ	ɑ j l
այլախոհ	ɑ j l ɑ χ ó h
այլանդակություն	ɑ j l ɑ n tʰ ɑ ɡ u tʰ ʏ́ n
այլասիրական	ɑ j l ɑ s i ɾ ɑ ɡ ɑ́ n
այլատյաց	ɑ j l ɑ d j ɑ́ t͡sʰ
այլատյացություն	ɑ j l ɑ d j ɑ t͡sʰ u tʰ ʏ́ n
այլափառ	ɑ j l ɑ pʰ ɑ́ r
այլընտրանք	ɑ j l ə n d ɾ ɑ́ ŋ kʰ
այլընտրանքային	ɑ j l ə n d ɾ ɑ ŋ kʰ ɑ j í n
այլմոլորակային	ɑ j l m o l o ɾ ɑ ɡ ɑ j í n
այլոց	ɑ j l ó t͡sʰ
այլոք	ɑ j l ó kʰ
այլք	ɑ j l kʰ
այլևայլ	ɑ j l e v ɑ́ j l
այլևայլություն	ɑ j l e v ɑ j l u tʰ ʏ́ n
այլևս	ɑ j l é v ə s
այծ	ɑ j d͡z
այծենի	ɑ j d͡z e n í
այծիկ	ɑ j d͡z í ɡ
այծյա	ɑ j d͡z j ɑ́
այծյամ	ɑ j d͡z j ɑ́ m
այծքաղ	ɑ j t͡sʰ kʰ ɑ́ ʁ
այմարա	ɑ j m ɑ ɾ ɑ́
այն	ɑ j n
այնուամենայնիվ	ɑ j n u ɑ m e n ɑ j n í v
այնուհետև	ɑ j n u h e d é v
այնպես	ɑ́ j n b e s
այնպիսի	ɑ j n b i s í
այնտեղ	ɑ́ j n d e ʁ
այնքան	ɑ́ j ŋ kʰ ɑ n
այո	ɑ j ó
այս	ɑ j s
այսբերգ	ɑ j s pʰ é ɾ kʰ
այսինքն	ɑ j s í ŋ kʰ ə n
այսու	ɑ j s ú
այսուամենայնիվ	ɑ j s u ɑ m e n ɑ j n í v
այսուհանդերձ	ɑ j s u h ɑ n tʰ é ɾ t͡sʰ
այսուհետ	ɑ j s u h é d
այսուհետև	ɑ j s u h e d é v
այսպես	ɑ́ j s p e s
այստեղ	ɑ́ j s t e ʁ
այստեղացի	ɑ j s t e ʁ ɑ t͡sʰ í
այսրկովկասյան	ɑ j s ə ɾ ɡ o f ɡ ɑ s j ɑ́ n
այսքան	ɑ́ j s kʰ ɑ n
այսօր	ɑ j s ó ɾ
այտ	ɑ j d
այտամորուք	ɑ j d ɑ m o ɾ ú kʰ
այտուց	ɑ j d ú t͡sʰ
այր	ɑ j ɾ
այրան	ɑ j ɾ ɑ́ n
այրացի	ɑ j ɾ ɑ t͡sʰ í
այրել	ɑ j ɾ é l
այրի	ɑ j ɾ í
այրուկ	ɑ j ɾ ú ɡ
այրուձի	ɑ j ɾ u t͡sʰ í
այրուք	ɑ j ɾ ú kʰ
այրվել	ɑ j ɾ v é l
այց	ɑ j t͡sʰ
այցելել	ɑ j t͡sʰ e l é l
այցելություն	ɑ j t͡sʰ e l u tʰ ʏ́ n
այցեքարտ	ɑ j t͡sʰ e kʰ ɑ́ ɾ d
ան	ɑ n
անագ	ɑ n ɑ́ kʰ
անագան	ɑ n ɑ kʰ ɑ́ n
անագապղինձ	ɑ n ɑ kʰ ɑ b ə ʁ í n t͡sʰ
անագորույն	ɑ n ɑ kʰ o ɾ ú j n
անազատություն	ɑ n ɑ z ɑ d u tʰ ʏ́ n
անազնիվ	ɑ n ɑ z n í v
անալի	ɑ n ɑ l í
անախորժ	ɑ n ɑ χ ó ɾ ʒ
անակնկալ	ɑ n ɑ ɡ ə ŋ ɡ ɑ́ l
անաղարտ	ɑ n ɑ ʁ ɑ́ ɾ d
անաղի	ɑ n ɑ ʁ í
անամոթություն	ɑ n ɑ m o tʰ u tʰ ʏ́ n
անամոք	ɑ n ɑ m ó kʰ
անանաս	ɑ n ɑ n ɑ́ s
անանկ	ɑ n ɑ́ ŋ ɡ
անանուխ	ɑ n ɑ n ú χ
անանցողական	ɑ n ɑ n t͡sʰ o ʁ ɑ ɡ ɑ́ n
անապատ	ɑ n ɑ b ɑ́ d
անապատական	ɑ n ɑ b ɑ d ɑ ɡ ɑ́ n
անապեստ	ɑ n ɑ b é s t
անառիկ	ɑ n ɑ r í ɡ
անասնաբույժ	ɑ n ɑ s n ɑ pʰ ú j ʒ
անասուն	ɑ n ɑ s ú n
անատակ	ɑ n ɑ d ɑ́ ɡ
անատոլիական	ɑ n ɑ d o l i j ɑ ɡ ɑ́ n
անատոմիա	ɑ n ɑ d ó m i j ɑ
անարատ	ɑ n ɑ ɾ ɑ́ d
անարդար	ɑ n ɑ ɾ tʰ ɑ́ ɾ
անարդարություն	ɑ n ɑ ɾ tʰ ɑ ɾ u tʰ ʏ́ n
անարի	ɑ n ɑ ɾ í
անարխիզմ	ɑ n ɑ ɾ χ í z m
անբան	ɑ n pʰ ɑ́ n
անբարյացակամ	ɑ n pʰ ɑ ɾ j ɑ t͡sʰ ɑ ɡ ɑ́ m
անբարյացկամ	ɑ n pʰ ɑ ɾ j ɑ t͡sʰ k ɑ́ m
անբարոյական	ɑ n pʰ ɑ ɾ o j ɑ ɡ ɑ́ n
անբիծ	ɑ n pʰ í d͡z
անբնակ	ɑ n pʰ ə n ɑ́ ɡ
անբովանդակ	ɑ n pʰ o v ɑ n tʰ ɑ́ ɡ
անգ	ɑ ŋ kʰ
անգամ	ɑ ŋ kʰ ɑ́ m
անգեղ	ɑ ŋ kʰ é ʁ
անգի	ɑ ŋ kʰ í
անգինա	ɑ ŋ kʰ í n ɑ
անգիր	ɑ ŋ kʰ í ɾ
անգլերեն	ɑ ŋ kʰ l e ɾ é n
անգլիական	ɑ ŋ kʰ l i j ɑ ɡ ɑ́ n
անգլիացի	ɑ ŋ kʰ l i j ɑ t͡sʰ í
անգլոսաքսոներեն	ɑ ŋ kʰ l o s ɑ kʰ s o n e ɾ é n
անգլուհի	ɑ ŋ kʰ l u h í
անգղ	ɑ́ ŋ kʰ ə ʁ
անգյալ	ɑ ŋ kʰ j ɑ́ l
անգնահատելի	ɑ ŋ kʰ ə n ɑ h ɑ d e l í
անգործ	ɑ ŋ kʰ ó ɾ d͡z
անգործածելի	ɑ ŋ kʰ o ɾ d͡z ɑ d͡z e l í
անգործություն	ɑ ŋ kʰ o ɾ d͡z u tʰ ʏ́ n
անգրագետ	ɑ ŋ kʰ ə ɾ ɑ kʰ é d
անգրագետ	ɑ ŋ kʰ ɾ ɑ kʰ é d
անդ	ɑ n tʰ
անդադար	ɑ n tʰ ɑ tʰ ɑ́ ɾ
անդամ	ɑ n tʰ ɑ́ m
անդամալուծել	ɑ n tʰ ɑ m ɑ l u d͡z é l
անդամալուծություն	ɑ n tʰ ɑ m ɑ l u d͡z u tʰ ʏ́ n
անդամալուծվել	ɑ n tʰ ɑ m ɑ l u d͡z v é l
անդամալույծ	ɑ n tʰ ɑ m ɑ l ú j d͡z
անդամակից	ɑ n tʰ ɑ m ɑ ɡ í t͡sʰ
անդամահատել	ɑ n tʰ ɑ m ɑ h ɑ d é l
անդամահատություն	ɑ n tʰ ɑ m ɑ h ɑ d u tʰ ʏ́ n
անդամահատում	ɑ n tʰ ɑ m ɑ h ɑ d ú m
անդամահատվել	ɑ n tʰ ɑ m ɑ h ɑ d v é l
անդամություն	ɑ n tʰ ɑ m u tʰ ʏ́ n
անդառնալիորեն	ɑ n tʰ ɑ r n ɑ l i j o ɾ é n
անդաստակ	ɑ n tʰ ɑ s t ɑ́ ɡ
անդաստան	ɑ n tʰ ɑ s t ɑ́ n
անդեորդ	ɑ n tʰ e ó ɾ tʰ
անդիորդ	ɑ n tʰ i j ó ɾ tʰ
անդյա	ɑ n tʰ j ɑ́
անդոհական	ɑ n tʰ o h ɑ ɡ ɑ́ n
անդուլ	ɑ n tʰ ú l
անդունդ	ɑ n tʰ ú n tʰ
անդունդք	ɑ n tʰ ú n tʰ kʰ
անդրադառնալ	ɑ n tʰ ɾ ɑ tʰ ɑ r n ɑ́ l
անդրանիկ	ɑ n tʰ ɾ ɑ n í ɡ
անդրավարտիք	ɑ n tʰ ɾ ɑ v ɑ ɾ d í kʰ
անդրի	ɑ n tʰ ɾ í
անդրկովկասյան	ɑ n tʰ ə ɾ ɡ o f ɡ ɑ s j ɑ́ n
անդրկովկասցի	ɑ n tʰ ə ɾ ɡ o f ɡ ɑ s t͡sʰ í
անդրշիրիմյան	ɑ n tʰ ə ɾ ʃ i ɾ i m j ɑ́ n
անդրուար	ɑ n tʰ ɾ u ɑ́ ɾ
անդրուվար	ɑ n tʰ ɾ u v ɑ́ ɾ
անդրջրհեղեղյան	ɑ n tʰ ə ɾ t͡ʃʰ ə ɾ h e ʁ e ʁ j ɑ́ n
անեզական	ɑ n e z ɑ ɡ ɑ́ n
անել	ɑ n é l
անելիք	ɑ n e l í kʰ
անեծք	ɑ n é t͡sʰ kʰ
անեկդոտ	ɑ n e kʰ tʰ ó d
աներ	ɑ n é ɾ
աներկյուղ	ɑ n e ɾ ɡ ʏ́ ʁ
աներկյուղաբար	ɑ n e ɾ ɡ ʏ ʁ ɑ pʰ ɑ́ ɾ
աներկյուղանալ	ɑ n e ɾ ɡ ʏ ʁ ɑ n ɑ́ l
աներկյուղորեն	ɑ n e ɾ ɡ ʏ ʁ o ɾ é n
աներկյուղություն	ɑ n e ɾ ɡ ʏ ʁ u tʰ ʏ́ n
աներձագ	ɑ n e ɾ t͡sʰ ɑ́ kʰ
աներորդի	ɑ n e ɾ o ɾ tʰ í
անզգայաբար	ɑ n ə s kʰ ɑ j ɑ pʰ ɑ́ ɾ
անզգայանալ	ɑ n ə s kʰ ɑ j ɑ n ɑ́ l
անզգայացնել	ɑ n ə s kʰ ɑ j ɑ t͡sʰ ə n é l
անզգայացում	ɑ n ə s kʰ ɑ j ɑ t͡sʰ ú m
անզգայացուցիչ	ɑ n ə s kʰ ɑ j ɑ t͡sʰ u t͡sʰ í t͡ʃʰ
անզգայացվել	ɑ n ə s kʰ ɑ j ɑ t͡sʰ v é l
անզգայորեն	ɑ n ə s kʰ ɑ j o ɾ é n
անզգայություն	ɑ n ə s kʰ ɑ j u tʰ ʏ́ n
անզոր	ɑ n z ó ɾ
անընդհատ	ɑ n ə n tʰ h ɑ́ d
անընդհատ	ɑ n ə n tʰ ɑ́ d
անընդունելի	ɑ n ə n tʰ u n e l í
անթ	ɑ n tʰ
անթայր	ɑ n tʰ ɑ́ j ɾ
անթառամ	ɑ n tʰ ɑ r ɑ́ m
անթարշամ	ɑ n tʰ ɑ ɾ ʃ ɑ́ m
անթացուպ	ɑ n tʰ ɑ t͡sʰ ú b
անթեղ	ɑ n tʰ é ʁ
անթերի	ɑ n tʰ e ɾ í
անթրոպոմորֆիզմ	ɑ n tʰ ɾ o b o m o ɾ f í z m
անթև	ɑ n tʰ é v
անթևուկ	ɑ n tʰ e v ú ɡ
անժաժ	ɑ n ʒ ɑ́ ʒ
անժուացի	ɑ n ʒ u ɑ t͡sʰ í
անիծ	ɑ n í d͡z
անիծել	ɑ n i d͡z é l
անիծյալ	ɑ n i d͡z j ɑ́ l
անիմաստ	ɑ n i m ɑ́ s t
անիշխանություն	ɑ n i ʃ χ ɑ n u tʰ ʏ́ n
անիոն	ɑ n i j ó n
անիսոն	ɑ n i s ó n
անիվ	ɑ n í v
անիրավ	ɑ n i ɾ ɑ́ v
անլուծելի	ɑ n l u d͡z e l í
անխելք	ɑ n χ é l kʰ
անխնա	ɑ n χ ə n ɑ́
անծանոթ	ɑ n d͡z ɑ n ó tʰ
անկախ	ɑ ŋ ɡ ɑ́ χ
անկախանալ	ɑ ŋ ɡ ɑ χ ɑ n ɑ́ l
անկախություն	ɑ ŋ ɡ ɑ χ u tʰ ʏ́ n
անկած	ɑ ŋ ɡ ɑ́ d͡z
անկանել	ɑ ŋ ɡ ɑ n é l
անկանոն	ɑ ŋ ɡ ɑ n ó n
անկաշկանդ	ɑ ŋ ɡ ɑ ʃ k ɑ́ n tʰ
անկասկած	ɑ ŋ ɡ ɑ s k ɑ́ d͡z
անկարելի	ɑ ŋ ɡ ɑ ɾ e l í
անկեղծ	ɑ ŋ ɡ é ʁ d͡z
անկեղծություն	ɑ ŋ ɡ e ʁ d͡z u tʰ ʏ́ n
անկյալ	ɑ ŋ ɡ j ɑ́ l
անկյուն	ɑ ŋ ɡ ʏ́ n
անկշռություն	ɑ ŋ ɡ ə ʃ r u tʰ ʏ́ n
անկողին	ɑ ŋ ɡ o ʁ í n
անկողմնակալ	ɑ ŋ ɡ o ʁ m n ɑ ɡ ɑ́ l
անկողմնակալություն	ɑ ŋ ɡ o ʁ m n ɑ ɡ ɑ l u tʰ ʏ́ n
անկորնչելի	ɑ ŋ ɡ o ɾ ə n t͡ʃʰ e l í
անկում	ɑ ŋ ɡ ú m
անկուշտ	ɑ ŋ ɡ ú ʃ t
անկված	ɑ ŋ ɡ v ɑ́ d͡z
անկտի	ɑ ŋ ɡ ə d í
անհաղթ	ɑ n h ɑ́ χ tʰ
անհաղթելի	ɑ n h ɑ χ tʰ e l í
անհամ	ɑ n h ɑ́ m
անհամաչափ	ɑ n h ɑ m ɑ t͡ʃʰ ɑ́ pʰ
անհամատեղելի	ɑ n h ɑ m ɑ d e ʁ e l í
անհամբեր	ɑ n h ɑ m pʰ é ɾ
անհամեստ	ɑ n h ɑ m é s t
անհամեստորեն	ɑ n h ɑ m e s t o ɾ é n
անհամեստություն	ɑ n h ɑ m e s t u tʰ ʏ́ n
անհամերաշխություն	ɑ n h ɑ m e ɾ ɑ ʃ χ u tʰ ʏ́ n
անհայտ	ɑ n h ɑ́ j d
անհանգիստ	ɑ n h ɑ ŋ kʰ í s t
անհանգստանալ	ɑ n h ɑ ŋ kʰ ə s t ɑ n ɑ́ l
անհապաղ	ɑ n h ɑ b ɑ́ ʁ
անհապաղելի	ɑ n h ɑ b ɑ ʁ e l í
անհապաղորեն	ɑ n h ɑ b ɑ ʁ o ɾ é n
անհաջող	ɑ n h ɑ t͡ʃʰ ó ʁ
անհաջողություն	ɑ n h ɑ t͡ʃʰ o ʁ u tʰ ʏ́ n
անհասանելի	ɑ n h ɑ s ɑ n e l í
անհավանական	ɑ n h ɑ v ɑ n ɑ ɡ ɑ́ n
անհավատ	ɑ n h ɑ v ɑ́ d
անհատ	ɑ n h ɑ́ d
անհատակ	ɑ n h ɑ d ɑ́ ɡ
անհատականություն	ɑ n h ɑ d ɑ ɡ ɑ n u tʰ ʏ́ n
անհարմար	ɑ n h ɑ ɾ m ɑ́ ɾ
անհեթեթ	ɑ n h e tʰ é tʰ
անհեթեթություն	ɑ n h e tʰ e tʰ u tʰ ʏ́ n
անհեռանկարային	ɑ n h e r ɑ n ə ɡ ɑ ɾ ɑ j í n
անհետ	ɑ n h é d
անհետանալ	ɑ n h e d ɑ n ɑ́ l
անհետացում	ɑ n h e d ɑ t͡sʰ ú m
անհետաքրքիր	ɑ n h e d ɑ kʰ ə ɾ kʰ í ɾ
անհերքելի	ɑ n h e ɾ kʰ e l í
անհիմն	ɑ n h í m ə n
անհնազանդ	ɑ n h ə n ɑ z ɑ́ n tʰ
անհնազանդություն	ɑ n h ə n ɑ z ɑ n tʰ u tʰ ʏ́ n
անհնար	ɑ n h ə n ɑ́ ɾ
անհույս	ɑ n h ú j s
անհուն	ɑ n h ú n
անհրաժեշտ	ɑ n h ə ɾ ɑ ʒ é ʃ t
անհրաժեշտ	ɑ n ɾ ɑ ʒ é ʃ t
անհրաժեշտություն	ɑ n h ə ɾ ɑ ʒ e ʃ t u tʰ ʏ́ n
անհրաժեշտություն	ɑ n ɾ ɑ ʒ e ʃ t u tʰ ʏ́ n
անձ	ɑ n t͡sʰ
անձամբ	ɑ n t͡sʰ ɑ́ m pʰ
անձավ	ɑ n t͡sʰ ɑ́ v
անձեռնահաս	ɑ n t͡sʰ e r n ɑ h ɑ́ s
անձեռնհաս	ɑ n t͡sʰ e r ə n h ɑ́ s
անձեռնոցիկ	ɑ n t͡sʰ e r n o t͡sʰ í ɡ
անձեռոց	ɑ n t͡sʰ e r ó t͡sʰ
անձեռոցիկ	ɑ n t͡sʰ e r o t͡sʰ í ɡ
անձինք	ɑ n t͡sʰ í ŋ kʰ
անձիք	ɑ n t͡sʰ í kʰ
անձնագիր	ɑ n t͡sʰ n ɑ kʰ í ɾ
անձնակազմ	ɑ n t͡sʰ n ɑ ɡ ɑ́ z m
անձնական	ɑ n t͡sʰ n ɑ ɡ ɑ́ n
անձնանուն	ɑ n t͡sʰ n ɑ n ú n
անձնավոր	ɑ n t͡sʰ n ɑ v ó ɾ
անձնատու	ɑ n t͡sʰ n ɑ d ú
անձնատվություն	ɑ n t͡sʰ n ɑ d ə v u tʰ ʏ́ n
անձնեղ	ɑ n t͡sʰ n é ʁ
անձնյա	ɑ n t͡sʰ n j ɑ́
անձուկ	ɑ n t͡sʰ ú ɡ
անձրուկ	ɑ n t͡sʰ ɾ ú ɡ
անձրև	ɑ n t͡sʰ ɾ é v
անձրևանոց	ɑ n t͡sʰ ɾ e v ɑ n ó t͡sʰ
անձրևել	ɑ n t͡sʰ ɾ e v é l
անձրևոտ	ɑ n t͡sʰ ɾ e v ó d
անճար	ɑ n d͡ʒ ɑ́ ɾ
անճարակ	ɑ n d͡ʒ ɑ ɾ ɑ́ ɡ
անճոռնի	ɑ n d͡ʒ o r n í
անմահ	ɑ n m ɑ́ h
անմահացնել	ɑ n m ɑ h ɑ t͡sʰ ə n é l
անմահություն	ɑ n m ɑ h u tʰ ʏ́ n
անմարդաբնակ	ɑ n m ɑ ɾ tʰ ɑ pʰ ə n ɑ́ ɡ
անմեղ	ɑ n m é ʁ
անմեղություն	ɑ n m e ʁ u tʰ ʏ́ n
անմեղսունակ	ɑ n m e χ s u n ɑ́ ɡ
անմեռ	ɑ n m é r
անմեռական	ɑ n m e r ɑ ɡ ɑ́ n
անմիաբանություն	ɑ n m i j ɑ pʰ ɑ n u tʰ ʏ́ n
անմիջաբար	ɑ n m i t͡ʃʰ ɑ pʰ ɑ́ ɾ
անմիջական	ɑ n m i t͡ʃʰ ɑ ɡ ɑ́ n
անմիջականորեն	ɑ n m i t͡ʃʰ ɑ ɡ ɑ n o ɾ é n
անմիջականություն	ɑ n m i t͡ʃʰ ɑ ɡ ɑ n u tʰ ʏ́ n
անմիջապես	ɑ n m i t͡ʃʰ ɑ b é s
անմիջնորդաբար	ɑ n m i t͡ʃʰ n o ɾ tʰ ɑ pʰ ɑ́ ɾ
անմիս	ɑ n m í s
անմիտ	ɑ n m í d
անմնացորդ	ɑ n m ə n ɑ t͡sʰ ó ɾ tʰ
անմոռուկ	ɑ n m o r ú ɡ
աննամուս	ɑ nː ɑ m ú s
աննկուն	ɑ nː ə ɡ ú n
աննման	ɑ nː ə m ɑ́ n
աննշմարելի	ɑ nː ə ʃ m ɑ ɾ e l í
աննպաստ	ɑ nː ə b ɑ́ s t
աննվաճ	ɑ nː ə v ɑ́ d͡ʒ
անշարժ	ɑ n ʃ ɑ́ ɾ ʒ
անշեն	ɑ n ʃ é n
անշեջ	ɑ n ʃ é t͡ʃʰ
անշշուկ	ɑ n ʃ ə ʃ ú ɡ
անշունչ	ɑ n ʃ ú n t͡ʃʰ
անշուշտ	ɑ n ʃ ú ʃ t
անշուք	ɑ n ʃ ú kʰ
անշրջելի	ɑ n ʃ ə ɾ t͡ʃʰ e l í
անոդ	ɑ n ó tʰ
անոթ	ɑ n ó tʰ
անոթի	ɑ n o tʰ í
անոյշ	ɑ n ú ʃ
անոնք	ɑ n ó ŋ kʰ
անոր	ɑ n ó ɾ
անորակ	ɑ n o ɾ ɑ́ ɡ
անորոշ	ɑ n o ɾ ó ʃ
անորոշաբար	ɑ n o ɾ o ʃ ɑ pʰ ɑ́ ɾ
անորոշակի	ɑ n o ɾ o ʃ ɑ ɡ í
անորոշանալ	ɑ n o ɾ o ʃ ɑ n ɑ́ l
անորոշելի	ɑ n o ɾ o ʃ e l í
անորոշություն	ɑ n o ɾ o ʃ u tʰ ʏ́ n
անութ	ɑ n ú tʰ
անույշ	ɑ n ú j ʃ
անուն	ɑ n ú n
անուշ	ɑ n ú ʃ
անուշաբույր	ɑ n u ʃ ɑ pʰ u j ɾ
անուշակ	ɑ n u ʃ ɑ́ ɡ
անուշահոտություն	ɑ n u ʃ ɑ h o d u tʰ ʏ́ n
անուշապուր	ɑ n u ʃ ɑ b ú ɾ
անուր	ɑ n ú ɾ
անուրջ	ɑ n ú ɾ t͡ʃʰ
անչափահաս	ɑ n t͡ʃʰ ɑ pʰ ɑ h ɑ́ s
անպայման	ɑ n b ɑ j m ɑ́ n
անպատասխանատու	ɑ n b ɑ d ɑ s χ ɑ n ɑ d ú
անպատեհ	ɑ n b ɑ d é h
անպատժելի	ɑ n b ɑ d ʒ e l í
անպատժելիություն	ɑ n b ɑ d ʒ e l i j u tʰ ʏ́ n
անպատրաստ	ɑ n b ɑ d ɾ ɑ́ s t
անպիտան	ɑ n b i d ɑ́ n
անջատ	ɑ n t͡ʃʰ ɑ́ d
անջատել	ɑ n t͡ʃʰ ɑ d é l
անջրդի	ɑ n t͡ʃʰ ə ɾ tʰ í
